customer_id,month,mrr_usd,add_on_usd
C0009,2024-09,140.16,47.33
C0009,2024-10,162.7,72.11
C0009,2024-11,164.49,74.07
C0010,2024-01,73.34,3.29
C0010,2024-02,77.95,8.09
C0011,2024-04,383.95,33.16
C0011,2024-05,374.75,23.48
C0011,2024-06,371.04,19.57
C0011,2024-07,396.4,46.27
C0011,2024-08,384.64,33.89
C0011,2024-09,380.9,29.95
C0011,2024-10,367.86,16.22
C0011,2024-11,382.44,31.57
C0011,2024-12,372.93,21.56
C0011,2025-01,405.81,56.18
C0011,2025-02,381.93,31.04
C0011,2025-03,392.34,41.99
C0011,2025-04,402.66,52.85
C0011,2025-05,388.97,38.45
C0011,2025-06,416.7,67.64
C0011,2025-07,373.65,22.32
C0012,2024-09,515.58,380.68
C0012,2024-10,488.52,353.62
C0012,2024-11,482.6,347.7
C0012,2024-12,505.41,370.52
C0012,2025-01,495.88,360.98
C0012,2025-02,496.42,361.53
C0012,2025-03,479.2,344.31
C0012,2025-04,508.44,373.54
C0012,2025-05,522.12,387.22
C0012,2025-06,507.82,372.93
C0012,2025-07,490.58,355.68
C0013,2024-01,93.09,15.44
C0013,2024-02,98.26,20.99
C0014,2024-06,118.64,16.76
C0014,2024-07,130.78,29.15
C0014,2024-08,154.67,53.53
C0014,2024-09,115.83,13.89
C0014,2024-10,155.92,54.8
C0014,2024-11,172.1,71.31
C0014,2024-12,166.26,65.36
C0015,2024-01,674.16,293.08
C0015,2024-02,678.5,298.3
C0015,2024-03,658.22,273.87
C0015,2024-04,651.66,265.96
C0015,2024-05,663.16,279.82
C0015,2024-06,657.53,273.03
C0015,2024-07,654.53,269.42
C0015,2024-08,667.93,285.57
C0015,2024-09,630.42,240.37
C0015,2024-10,639.61,251.45
C0015,2024-11,653.18,267.8
C0015,2024-12,654.07,268.88
C0015,2025-01,671.61,290.0
C0015,2025-02,669.31,287.23
C0015,2025-03,656.17,271.4
C0015,2025-04,639.59,251.42
C0015,2025-05,650.23,264.25
C0015,2025-06,667.64,285.22
C0016,2025-03,108.97,26.89
C0016,2025-04,83.16,0.0
C0016,2025-05,125.53,44.14
C0016,2025-06,119.78,38.15
C0016,2025-07,89.01,6.1
C0017,2024-01,81.24,12.41
C0017,2024-02,82.25,13.47
C0017,2024-03,75.31,6.17
C0017,2024-04,75.15,6.0
C0017,2024-05,84.54,15.89
C0017,2024-06,69.45,0.0
C0017,2024-07,97.01,29.01
C0017,2024-08,96.37,28.34
C0017,2024-09,69.45,0.0
C0017,2024-10,69.45,0.0
C0017,2024-11,75.38,6.24
C0017,2024-12,69.45,0.0
C0017,2025-01,78.61,9.64
C0017,2025-02,96.57,28.54
C0017,2025-03,69.45,0.0
C0017,2025-04,69.45,0.0
C0017,2025-05,117.48,50.56
C0017,2025-06,69.86,0.43
C0017,2025-07,87.13,18.61
C0018,2025-03,369.25,28.82
C0018,2025-04,381.46,41.67
C0018,2025-05,366.89,26.34
C0018,2025-06,363.62,22.9
C0018,2025-07,374.02,33.84
C0019,2024-04,539.14,170.56
C0019,2024-05,542.21,174.3
C0019,2024-06,568.83,206.75
C0019,2024-07,561.52,197.84
C0019,2024-08,529.38,158.65
C0019,2024-09,528.68,157.8
C0019,2024-10,518.68,145.59
C0019,2024-11,559.29,195.12
C0019,2024-12,530.16,159.6
C0019,2025-01,538.97,170.34
C0019,2025-02,540.62,172.35
C0019,2025-03,549.09,182.68
C0019,2025-04,544.86,177.53
C0019,2025-05,534.29,164.63
C0019,2025-06,520.34,147.62
C0019,2025-07,547.5,180.74
C0020,2024-05,272.28,178.49
C0020,2024-06,277.3,184.06
C0020,2024-07,265.39,170.84
C0020,2024-08,284.35,191.9
C0020,2024-09,264.22,169.53
C0020,2024-10,267.45,173.12
C0020,2024-11,269.55,175.45
C0020,2024-12,283.94,191.44
C0020,2025-01,287.71,195.63
C0020,2025-02,284.27,191.81
C0020,2025-03,314.82,225.76
C0020,2025-04,293.35,201.91
C0020,2025-05,266.58,172.16
C0020,2025-06,291.19,199.5
C0020,2025-07,300.46,209.8
C0021,2024-10,400.76,67.96
C0021,2024-11,389.58,55.1
C0021,2024-12,382.85,47.36
C0021,2025-01,380.73,44.93
C0021,2025-02,391.57,57.39
C0021,2025-03,365.54,27.47
C0021,2025-04,366.51,28.58
C0021,2025-05,398.31,65.13
C0021,2025-06,389.8,55.35
C0021,2025-07,420.59,90.74
C0022,2024-07,81.86,30.89
C0022,2024-08,71.33,17.03
C0022,2024-09,71.38,17.1
C0022,2024-10,63.16,6.28
C0022,2024-11,70.46,15.89
C0022,2024-12,69.82,15.05
C0022,2025-01,70.36,15.76
C0023,2024-06,149.94,53.06
C0023,2024-07,162.42,65.92
C0023,2024-08,107.13,8.92
C0023,2024-09,184.42,88.6
C0023,2024-10,146.67,49.69
C0023,2024-11,143.11,46.02
C0024,2024-01,294.8,177.95
C0024,2024-02,264.91,147.76
C0024,2024-03,274.73,157.67
C0024,2024-04,271.61,154.53
C0024,2024-05,265.59,148.45
C0024,2024-06,281.05,164.06
C0024,2024-07,271.01,153.92
C0024,2024-08,266.81,149.68
C0024,2024-09,244.59,127.23
C0024,2024-10,278.9,161.89
C0024,2024-11,287.47,170.55
C0024,2024-12,280.37,163.38
C0024,2025-01,261.42,144.23
C0024,2025-02,235.53,118.08
C0024,2025-03,261.18,143.99
C0024,2025-04,274.25,157.19
C0025,2024-03,2059.84,50.29
C0025,2024-04,2066.59,57.11
C0025,2024-05,2084.5,75.21
C0025,2024-06,2101.91,92.8
C0025,2024-07,2101.68,92.56
C0025,2024-08,2092.41,83.2
C0025,2024-09,2081.35,72.03
C0025,2024-10,2104.19,95.1
C0025,2024-11,2099.21,90.07
C0025,2024-12,2073.9,64.5
C0025,2025-01,2088.79,79.54
C0026,2024-01,269.83,160.27
C0026,2024-02,253.1,142.84
C0026,2024-03,254.68,144.48
C0026,2024-04,257.62,147.55
C0026,2024-05,243.93,133.29
C0026,2024-06,284.8,175.86
C0026,2024-07,254.3,144.08
C0026,2024-08,258.84,148.82
C0026,2024-09,253.12,142.85
C0026,2024-10,255.36,145.19
C0026,2024-11,247.58,137.09
C0026,2024-12,254.43,144.22
C0026,2025-01,242.88,132.19
C0026,2025-02,267.17,157.5
C0026,2025-03,252.83,142.56
C0026,2025-04,266.86,157.18
C0026,2025-05,264.58,154.79
C0027,2024-09,656.77,191.17
C0027,2024-10,659.11,193.61
C0027,2024-11,675.94,211.14
C0027,2024-12,665.09,199.83
C0027,2025-01,630.86,164.18
C0027,2025-02,670.06,205.02
C0027,2025-03,635.4,168.91
C0027,2025-04,638.08,171.71
C0027,2025-05,634.97,168.47
C0027,2025-06,646.09,180.05
C0027,2025-07,660.66,195.23
C0028,2024-04,487.51,74.27
C0028,2024-05,512.79,100.87
C0028,2024-06,520.91,109.43
C0028,2024-07,498.69,86.03
C0028,2024-08,508.23,96.08
C0028,2024-09,507.48,95.29
C0028,2024-10,514.19,102.35
C0029,2024-01,488.23,71.02
C0029,2024-02,475.08,57.87
C0029,2024-03,467.19,49.98
C0029,2024-04,463.75,46.54
C0029,2024-05,486.37,69.16
C0029,2024-06,486.96,69.76
C0029,2024-07,486.85,69.65
C0029,2024-08,501.64,84.43
C0029,2024-09,503.61,86.4
C0029,2024-10,460.88,43.67
C0029,2024-11,485.23,68.02
C0029,2024-12,475.97,58.76
C0029,2025-01,469.03,51.83
C0029,2025-02,482.99,65.78
C0029,2025-03,473.68,56.48
C0029,2025-04,498.26,81.05
C0029,2025-05,503.5,86.29
C0029,2025-06,462.07,44.86
C0029,2025-07,473.36,56.15
C0030,2024-02,374.74,36.85
C0030,2024-03,392.71,55.56
C0030,2024-04,366.9,28.68
C0030,2024-05,365.93,27.67
C0030,2024-06,370.89,32.84
C0030,2024-07,383.48,45.95
C0030,2024-08,372.9,34.93
C0030,2024-09,384.58,47.1
C0030,2024-10,372.77,34.79
C0030,2024-11,363.13,24.75
C0030,2024-12,354.82,16.1
C0030,2025-01,346.29,7.21
C0030,2025-02,373.59,35.65
C0030,2025-03,364.42,26.1
C0030,2025-04,339.37,0.0
C0030,2025-05,340.8,1.49
C0030,2025-06,357.37,18.76
C0030,2025-07,384.03,46.52
C0031,2024-12,312.64,26.61
C0031,2025-01,298.94,12.63
C0031,2025-02,308.11,21.98
C0031,2025-03,308.49,22.36
C0031,2025-04,319.64,33.74
C0031,2025-05,307.76,21.62
C0031,2025-06,319.66,33.76
C0031,2025-07,295.95,9.57
C0032,2024-09,152.31,60.63
C0032,2024-10,152.2,60.5
C0032,2024-11,158.34,67.18
C0032,2024-12,126.66,32.74
C0032,2025-01,155.73,64.34
C0032,2025-02,165.9,75.4
C0032,2025-03,152.47,60.8
C0032,2025-04,157.77,66.56
C0033,2024-01,120.64,37.2
C0033,2024-02,107.31,23.73
C0033,2024-03,93.61,9.9
C0033,2024-04,99.02,15.37
C0033,2024-05,104.39,20.78
C0033,2024-06,91.44,7.71
C0033,2024-07,121.35,37.92
C0033,2024-08,110.32,26.78
C0033,2024-09,129.55,46.2
C0033,2024-10,86.82,3.04
C0033,2024-11,94.45,10.75
C0033,2024-12,83.81,0.0
C0033,2025-01,96.76,13.08
C0033,2025-02,95.63,11.94
C0033,2025-03,91.27,7.53
C0033,2025-04,134.77,51.48
C0033,2025-05,87.05,3.27
C0033,2025-06,99.34,15.68
C0033,2025-07,90.24,6.49
C0034,2024-10,1993.8,164.62
C0034,2024-11,1992.55,163.03
C0034,2024-12,1974.22,139.84
C0034,2025-01,1972.81,138.05
C0034,2025-02,2007.9,182.47
C0034,2025-03,1981.37,148.89
C0034,2025-04,2003.38,176.74
C0034,2025-05,1980.77,148.13
C0034,2025-06,1996.6,168.16
C0034,2025-07,1988.34,157.7
C0035,2025-04,513.07,408.46
C0035,2025-05,524.68,420.8
C0035,2025-06,513.25,408.65
C0035,2025-07,512.88,408.25
C0036,2024-09,408.65,66.17
C0036,2024-10,398.16,53.83
C0036,2024-11,406.61,63.78
C0036,2024-12,401.48,57.74
C0036,2025-01,417.06,76.07
C0036,2025-02,420.64,80.28
C0036,2025-03,391.54,46.04
C0036,2025-04,402.69,59.17
C0036,2025-05,417.82,76.96
C0036,2025-06,393.2,48.0
C0036,2025-07,402.3,58.7
C0037,2025-04,317.89,28.68
C0037,2025-05,315.42,26.18
C0037,2025-06,320.07,30.88
C0037,2025-07,311.82,22.55
C0038,2024-01,120.84,45.81
C0038,2024-02,102.76,25.5
C0038,2024-03,85.79,6.42
C0038,2024-04,95.56,17.4
C0038,2024-05,135.78,62.59
C0038,2024-06,110.45,34.14
C0039,2025-04,1308.06,41.42
C0039,2025-05,1299.72,31.83
C0039,2025-06,1314.53,48.85
C0039,2025-07,1305.96,39.01
C0040,2024-12,406.99,49.25
C0040,2025-01,402.88,44.68
C0040,2025-02,412.28,55.12
C0040,2025-03,410.14,52.74
C0040,2025-04,429.07,73.78
C0040,2025-05,393.04,33.74
C0040,2025-06,431.56,76.55
C0040,2025-07,415.94,59.19
C0041,2024-12,469.29,79.4
C0041,2025-01,468.01,78.05
C0041,2025-02,468.63,78.7
C0041,2025-03,447.43,56.38
C0041,2025-04,484.71,95.63
C0041,2025-05,452.87,62.12
C0041,2025-06,469.15,79.25
C0041,2025-07,444.2,52.98
C0042,2024-01,280.16,167.6
C0042,2024-02,298.83,187.04
C0042,2024-03,271.95,159.04
C0043,2024-10,85.73,0.0
C0043,2024-11,96.76,11.37
C0043,2024-12,97.64,12.29
C0043,2025-01,109.07,24.06
C0043,2025-02,90.51,4.93
C0043,2025-03,129.38,45.0
C0043,2025-04,100.87,15.62
C0043,2025-05,110.18,25.21
C0043,2025-06,123.35,38.79
C0043,2025-07,114.94,30.12
C0044,2024-01,594.95,201.35
C0044,2024-02,570.7,173.16
C0044,2024-03,555.17,155.09
C0044,2024-04,583.63,188.2
C0045,2024-09,661.77,181.46
C0045,2024-10,655.66,175.35
C0045,2024-11,633.92,153.6
C0045,2024-12,659.09,178.78
C0045,2025-01,653.54,173.23
C0045,2025-02,659.45,179.14
C0045,2025-03,657.33,177.02
C0045,2025-04,612.23,131.92
C0045,2025-05,643.23,162.92
C0045,2025-06,631.42,151.1
C0045,2025-07,625.9,145.58
C0046,2025-03,363.79,10.29
C0046,2025-04,409.95,56.44
C0046,2025-05,385.88,32.38
C0046,2025-06,405.09,51.59
C0046,2025-07,413.31,59.8
C0047,2024-01,329.05,204.62
C0047,2024-02,306.41,181.97
C0047,2024-03,336.9,212.47
C0047,2024-04,316.62,192.18
C0047,2024-05,314.81,190.38
C0047,2024-06,331.7,207.27
C0047,2024-07,330.3,205.87
C0047,2024-08,328.07,203.64
C0047,2024-09,319.0,194.57
C0047,2024-10,311.51,187.08
C0047,2024-11,316.3,191.87
C0047,2024-12,318.01,193.58
C0047,2025-01,329.97,205.53
C0047,2025-02,288.18,163.74
C0047,2025-03,325.61,201.18
C0047,2025-04,340.4,215.97
C0047,2025-05,312.84,188.41
C0047,2025-06,302.02,177.59
C0047,2025-07,337.89,213.45
C0048,2024-01,126.22,47.63
C0048,2024-02,83.21,4.19
C0048,2024-03,89.45,10.49
C0048,2024-04,84.56,5.55
C0048,2024-05,82.84,3.81
C0048,2024-06,105.32,26.52
C0048,2024-07,102.38,23.55
C0048,2024-08,79.06,0.0
C0048,2024-09,88.98,10.02
C0048,2024-10,91.35,12.41
C0048,2024-11,99.22,20.36
C0048,2024-12,89.12,10.16
C0048,2025-01,104.29,25.48
C0048,2025-02,79.06,0.0
C0048,2025-03,89.89,10.94
C0048,2025-04,79.06,0.0
C0048,2025-05,80.76,1.72
C0048,2025-06,96.65,17.76
C0048,2025-07,89.6,10.64
C0049,2024-02,387.0,31.05
C0049,2024-03,401.11,45.3
C0049,2024-04,393.02,37.13
C0049,2024-05,402.48,46.68
C0049,2024-06,370.53,14.41
C0049,2024-07,395.72,39.86
C0049,2024-08,378.03,21.99
C0049,2024-09,406.14,50.38
C0049,2024-10,405.81,50.05
C0049,2024-11,377.5,21.45
C0049,2024-12,392.67,36.77
C0049,2025-01,389.73,33.81
C0049,2025-02,398.71,42.87
C0050,2024-06,173.33,76.13
C0050,2024-07,142.71,44.88
C0050,2024-08,147.08,49.34
C0050,2024-09,133.31,35.29
C0050,2024-10,122.24,23.99
C0050,2024-11,146.36,48.6
C0051,2025-01,428.31,61.12
C0051,2025-02,440.47,73.52
C0051,2025-03,428.59,61.4
C0051,2025-04,402.67,34.95
C0051,2025-05,431.54,64.41
C0051,2025-06,415.64,48.18
C0051,2025-07,396.3,28.45
C0052,2024-04,472.7,73.1
C0052,2024-05,490.05,91.36
C0052,2024-06,475.46,76.0
C0052,2024-07,475.74,76.29
C0052,2024-08,445.28,44.23
C0052,2024-09,486.88,88.01
C0052,2024-10,457.53,57.12
C0052,2024-11,454.95,54.41
C0052,2024-12,489.27,90.53
C0052,2025-01,480.11,80.9
C0052,2025-02,483.28,84.23
C0052,2025-03,497.21,98.89
C0052,2025-04,481.38,82.23
C0052,2025-05,460.31,60.05
C0052,2025-06,464.7,64.67
C0052,2025-07,444.8,43.72
C0053,2024-01,458.86,61.18
C0053,2024-02,453.95,56.12
C0053,2024-03,454.8,56.99
C0053,2024-04,431.71,33.19
C0053,2024-05,449.66,51.69
C0053,2024-06,438.4,40.08
C0053,2024-07,493.18,96.56
C0054,2024-01,1790.93,84.79
C0054,2024-02,1789.0,82.47
C0054,2024-03,1791.81,85.85
C0054,2024-04,1800.32,96.11
C0054,2024-05,1799.17,94.72
C0054,2024-06,1806.98,104.12
C0054,2024-07,1803.01,99.34
C0054,2024-08,1777.88,69.06
C0054,2024-09,1772.21,62.24
C0054,2024-10,1796.72,91.76
C0054,2024-11,1792.24,86.36
C0054,2024-12,1808.27,105.68
C0054,2025-01,1755.05,41.56
C0054,2025-02,1765.98,54.73
C0054,2025-03,1767.9,57.05
C0054,2025-04,1783.75,76.14
C0054,2025-05,1785.41,78.13
C0054,2025-06,1781.49,73.41
C0054,2025-07,1753.77,40.02
C0055,2024-05,126.98,42.25
C0055,2024-06,87.2,0.37
C0055,2024-07,108.66,22.96
C0055,2024-08,105.34,19.47
C0055,2024-09,141.47,57.5
C0055,2024-10,129.33,44.72
C0055,2024-11,122.21,37.22
C0055,2024-12,126.43,41.67
C0055,2025-01,98.87,12.66
C0055,2025-02,108.71,23.02
C0055,2025-03,94.19,7.73
C0055,2025-04,100.52,14.39
C0055,2025-05,96.98,10.67
C0055,2025-06,100.88,14.78
C0055,2025-07,106.03,20.19
C0056,2024-12,415.3,63.91
C0056,2025-01,404.44,52.83
C0056,2025-02,377.46,25.31
C0056,2025-03,370.44,18.14
C0056,2025-04,404.04,52.42
C0056,2025-05,366.55,14.17
C0056,2025-06,365.83,13.44
C0056,2025-07,436.05,85.09
C0057,2024-05,136.18,36.7
C0057,2024-06,140.72,41.34
C0057,2024-07,191.02,92.66
C0057,2024-08,134.45,34.94
C0057,2024-09,174.97,76.29
C0057,2024-10,159.72,60.72
C0057,2024-11,155.97,56.89
C0057,2024-12,133.72,34.2
C0057,2025-01,152.76,53.62
C0057,2025-02,154.97,55.87
C0057,2025-03,132.56,33.0
C0057,2025-04,161.42,62.46
C0057,2025-05,129.26,29.64
C0057,2025-06,169.61,70.81
C0058,2024-01,334.22,14.13
C0058,2024-02,359.52,42.88
C0058,2024-03,349.51,31.51
C0058,2024-04,391.09,78.76
C0058,2024-05,381.07,67.37
C0058,2024-06,365.83,50.06
C0058,2024-07,358.94,42.22
C0058,2024-08,330.22,9.59
C0058,2024-09,366.43,50.74
C0058,2024-10,348.1,29.91
C0058,2024-11,356.89,39.9
C0058,2024-12,341.48,22.38
C0058,2025-01,359.95,43.37
C0058,2025-02,336.33,16.53
C0058,2025-03,368.01,52.53
C0058,2025-04,348.08,29.89
C0058,2025-05,335.14,15.18
C0058,2025-06,364.8,48.89
C0058,2025-07,358.78,42.04
C0059,2024-06,122.21,38.68
C0059,2024-07,129.29,46.13
C0059,2024-08,122.68,39.17
C0059,2024-09,140.53,57.97
C0059,2024-10,96.8,11.93
C0059,2024-11,126.23,42.9
C0059,2024-12,114.09,30.13
C0059,2025-01,107.05,22.72
C0059,2025-02,110.47,26.32
C0059,2025-03,111.84,27.76
C0059,2025-04,111.49,27.39
C0059,2025-05,93.22,8.17
C0059,2025-06,97.42,12.58
C0059,2025-07,106.16,21.78
C0060,2024-08,312.14,28.34
C0060,2024-09,307.21,23.04
C0060,2024-10,325.91,43.14
C0060,2024-11,323.11,40.14
C0060,2024-12,325.32,42.51
C0060,2025-01,314.32,30.69
C0060,2025-02,285.79,0.0
C0060,2025-03,286.61,0.89
C0060,2025-04,319.13,35.85
C0060,2025-05,328.91,46.37
C0060,2025-06,297.39,12.48
C0060,2025-07,293.0,7.76
C0061,2024-08,2051.96,107.96
C0061,2024-09,2071.88,129.62
C0061,2024-10,2064.89,122.02
C0061,2024-11,2046.09,101.58
C0061,2024-12,2042.18,97.32
C0061,2025-01,2036.79,91.47
C0061,2025-02,2047.1,102.68
C0061,2025-03,2032.44,86.74
C0061,2025-04,2013.45,66.1
C0061,2025-05,2027.96,81.87
C0061,2025-06,2044.73,100.1
C0061,2025-07,2062.59,119.51
C0062,2024-10,75.87,0.0
C0062,2024-11,85.32,9.95
C0062,2024-12,103.05,28.61
C0062,2025-01,100.8,26.24
C0062,2025-02,113.38,39.49
C0062,2025-03,75.87,0.0
C0062,2025-04,88.99,13.81
C0062,2025-05,94.94,20.08
C0062,2025-06,77.31,1.52
C0062,2025-07,89.13,13.96
C0063,2024-01,440.97,70.28
C0063,2024-02,439.65,68.84
C0063,2024-03,438.27,67.34
C0063,2024-04,452.82,83.17
C0063,2024-05,437.63,66.65
C0063,2024-06,417.46,44.73
C0063,2024-07,416.07,43.22
C0063,2024-08,410.78,37.47
C0063,2024-09,420.91,48.47
C0063,2024-10,433.11,61.74
C0063,2024-11,440.19,69.43
C0063,2024-12,437.82,66.86
C0063,2025-01,427.34,55.46
C0063,2025-02,431.27,59.74
C0063,2025-03,432.91,61.52
C0063,2025-04,421.4,49.01
C0063,2025-05,424.91,52.82
C0063,2025-06,436.5,65.43
C0063,2025-07,410.86,37.55
C0064,2024-01,379.2,53.9
C0064,2024-02,399.34,78.16
C0064,2024-03,403.82,83.57
C0064,2024-04,387.36,63.73
C0064,2024-05,372.93,46.35
C0064,2024-06,390.82,67.9
C0064,2024-07,371.57,44.71
C0064,2024-08,398.2,76.79
C0064,2024-09,377.63,52.01
C0064,2024-10,396.65,74.92
C0065,2024-01,364.0,15.4
C0065,2024-02,363.81,15.21
C0065,2024-03,363.0,14.37
C0065,2024-04,386.96,39.07
C0065,2024-05,368.04,19.57
C0065,2024-06,375.93,27.69
C0065,2024-07,383.52,35.52
C0065,2024-08,387.53,39.66
C0065,2024-09,390.53,42.75
C0066,2024-12,100.09,26.67
C0066,2025-01,76.89,0.0
C0066,2025-02,98.79,25.18
C0066,2025-03,76.89,0.0
C0066,2025-04,82.67,6.64
C0066,2025-05,84.64,8.91
C0066,2025-06,98.71,25.08
C0066,2025-07,111.76,40.08
C0067,2024-06,440.85,340.08
C0067,2024-07,419.77,317.42
C0067,2024-08,451.55,351.59
C0067,2024-09,457.57,358.07
C0067,2024-10,444.28,343.77
C0067,2024-11,440.49,339.69
C0067,2024-12,432.88,331.52
C0067,2025-01,451.91,351.97
C0067,2025-02,427.69,325.93
C0067,2025-03,445.77,345.38
C0067,2025-04,437.54,336.52
C0067,2025-05,448.4,348.2
C0067,2025-06,420.16,317.83
C0067,2025-07,407.5,304.22
C0068,2024-01,285.36,163.85
C0068,2024-02,298.99,177.49
C0068,2024-03,283.23,161.72
C0068,2024-04,267.14,145.63
C0068,2024-05,282.78,161.27
C0068,2024-06,262.72,141.21
C0068,2024-07,269.29,147.78
C0068,2024-08,299.53,178.02
C0068,2024-09,279.82,158.31
C0068,2024-10,265.61,144.1
C0068,2024-11,270.35,148.84
C0068,2024-12,269.02,147.51
C0068,2025-01,274.86,153.36
C0068,2025-02,286.76,165.25
C0068,2025-03,273.03,151.52
C0068,2025-04,257.76,136.25
C0068,2025-05,285.28,163.77
C0069,2024-06,590.16,138.87
C0069,2024-07,593.77,142.6
C0069,2024-08,580.12,128.53
C0069,2024-09,596.77,145.69
C0069,2024-10,566.32,114.29
C0069,2024-11,579.29,127.67
C0069,2024-12,576.64,124.94
C0069,2025-01,595.5,144.38
C0069,2025-02,595.34,144.22
C0069,2025-03,582.57,131.06
C0069,2025-04,602.61,151.71
C0069,2025-05,587.91,136.56
C0069,2025-06,594.43,143.28
C0069,2025-07,618.74,168.34
C0070,2024-12,321.31,213.6
C0070,2025-01,332.11,224.97
C0070,2025-02,290.38,181.04
C0070,2025-03,293.28,184.09
C0071,2024-01,99.78,22.95
C0071,2024-02,80.61,3.78
C0071,2024-03,101.26,24.43
C0071,2024-04,90.01,13.19
C0071,2024-05,95.77,18.95
C0071,2024-06,107.66,30.83
C0071,2024-07,76.82,0.0
C0072,2024-09,1282.57,29.26
C0072,2024-10,1314.4,66.28
C0072,2024-11,1283.34,30.16
C0072,2024-12,1305.05,55.4
C0072,2025-01,1287.73,35.27
C0072,2025-02,1278.79,24.87
C0072,2025-03,1305.01,55.35
C0072,2025-04,1260.43,3.52
C0072,2025-05,1277.27,23.1
C0072,2025-06,1289.7,37.55
C0073,2024-07,1517.99,51.67
C0073,2024-08,1527.04,62.07
C0073,2024-09,1507.41,39.51
C0073,2024-10,1511.23,43.9
C0073,2024-11,1516.55,50.01
C0073,2024-12,1510.87,43.49
C0073,2025-01,1499.31,30.2
C0073,2025-02,1526.56,61.52
C0073,2025-03,1515.31,48.59
C0073,2025-04,1512.89,45.8
C0073,2025-05,1526.13,61.03
C0073,2025-06,1498.17,28.89
C0073,2025-07,1504.32,35.95
C0074,2024-12,98.44,13.31
C0074,2025-01,85.93,0.0
C0075,2024-01,351.41,57.73
C0075,2024-02,347.32,52.8
C0075,2024-03,339.4,43.26
C0075,2024-04,361.61,70.02
C0075,2024-05,335.43,38.48
C0075,2024-06,330.3,32.29
C0075,2024-07,335.25,38.25
C0075,2024-08,317.94,17.4
C0075,2024-09,346.23,51.48
C0075,2024-10,314.85,13.68
C0075,2024-11,338.91,42.67
C0075,2024-12,317.89,17.33
C0075,2025-01,323.21,23.75
C0075,2025-02,329.39,31.2
C0075,2025-03,341.92,46.29
C0075,2025-04,331.79,34.08
C0075,2025-05,341.42,45.69
C0075,2025-06,348.65,54.4
C0076,2024-01,99.19,14.44
C0076,2024-02,95.88,10.96
C0077,2024-02,1814.48,46.95
C0077,2024-03,1811.67,44.14
C0077,2024-04,1825.5,57.97
C0077,2024-05,1818.65,51.13
C0077,2024-06,1831.12,63.59
C0077,2024-07,1848.1,80.57
C0077,2024-08,1825.64,58.11
C0077,2024-09,1811.79,44.26
C0077,2024-10,1794.04,26.51
C0077,2024-11,1794.87,27.34
C0077,2024-12,1830.54,63.01
C0077,2025-01,1829.17,61.64
C0077,2025-02,1831.88,64.35
C0077,2025-03,1819.38,51.85
C0077,2025-04,1784.27,16.74
C0077,2025-05,1814.36,46.83
C0077,2025-06,1806.77,39.24
C0077,2025-07,1783.52,15.99
C0078,2024-02,469.2,59.06
